name,C1,C2,C3,C4,O1,O2,O3,N1,H1,H2,H3,H4,H5,H6,H7,H8,F,Cl,S,Si,Tg,Cp_KJ/Kg-K,Cp_J/mol-K
poly_iso_butyl_acrylate,6,1,0,0,1,1,0,0,12,2,0,0,0,0,0,0,0,0,0,0,249,1.8108,232.09
poly_n_butyl_acrylate,6,1,0,0,1,1,0,0,12,2,0,0,0,0,0,0,0,0,0,0,218,1.8201,233.28
poly_ethyl_acrylate,4,1,0,0,1,1,0,0,8,2,0,0,0,0,0,0,0,0,0,0,249,1.7867,178.88
poly_methyl_acrylate,3,1,0,0,1,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,279,1.765,151.99
poly_1_4_butadiene,2,2,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,171,1.96,106
Poly_1_butene,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,249,2.086,117.02
Polyethylene,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,252,1.555,21.81
Polyisobutene,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,200,1.962,110.09
Poly_2_methylbutadiene,3,2,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,200,1.911,130.2
Poly_4_methyl_1pentene,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,303,1.728,145.4
Poly_1_pentene,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,233,2.058,144.34
Polypropylene,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,260,1.622,68.24
Poly_n-butyl_methacrylate,7,1,0,0,1,1,0,0,14,2,0,0,0,0,0,0,0,0,0,0,293,1.8524,263.41
Poly_i_butyl_methacrylate,7,1,0,0,1,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,326,1.571,223.4
Poly_ethyl_methacrylate,5,1,0,0,1,1,0,0,10,2,0,0,0,0,0,0,0,0,0,0,338,1.4666,167.42
Poly_hexyl_methacrylate,9,1,0,0,1,1,0,0,18,2,0,0,0,0,0,0,0,0,0,0,268,1.901,324.83
Polymethacrylic_acid,3,1,0,0,1,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,,1.307,112.5
Polymethacrylamide,3,1,0,0,1,0,0,1,7,0,0,0,0,2,0,0,0,0,0,0,,1.395,118.7
Polymethyl_methacrylate,4,1,0,0,1,1,0,0,7,3,0,0,0,0,0,0,0,0,0,0,378,1.3755,137.72
Polystyrene,2,6,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,373,1.223,127.38
Poly_alpha_methylstyrene,3,6,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,441,1.2752,150.7
Poly_p-methylstyrene,3,6,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,380,1.2743,150.6
Poly_acrylonitrile,2,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,378,1.297,68.83
Poly_chlorotrifluoroethylene,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,325,0.85945,100.1
Polytetrafluroethylene,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,240,0.9016,45.09
Polytrifluroethylene,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,304,1.078,88.4
Poly_vinyl_chloride,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,354,0.9496,59.35
Poly_vinyl_fluoride,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,314,1.301,59.91
Poly_p-phenylene,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,1.117,85.04
Poly_vinyl_acetate,3,1,0,0,1,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,304,1.183,101.86
Poly_vinyl_alcohol,2,0,0,0,0,0,1,0,3,2,0,0,1,0,0,0,0,0,0,0,358,1.546,68.11
Poly_vinyl_benzoate,2,7,0,0,1,1,0,0,3,2,5,0,0,0,0,0,0,0,0,0,347,1.1025,163.35
Poly_p-xylylene,2,6,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,286,1.3022,135.622
Nylon612,16,2,0,0,2,0,0,2,28,4,0,1,0,3,0,0,0,0,0,0,319,1.5926,494.48
Nylon66,10,2,0,0,2,0,0,2,16,4,0,1,0,3,0,0,0,0,0,0,323,1.4638,331.3
Nylon69,13,2,0,0,2,0,0,2,22,4,0,1,0,3,0,0,0,0,0,0,331,1.5204,408.08
Nylon610,14,2,0,0,2,0,0,2,24,4,0,1,0,3,0,0,0,0,0,0,323,1.5644,441.82
Nylon6,5,1,0,0,1,0,0,1,8,2,0,1,0,2,0,0,0,0,0,0,313,1.5023,170
Nylon12,11,1,0,0,1,0,0,1,20,2,0,1,0,2,0,0,0,0,0,0,314,1.6952,334.49
Nylon11,10,1,0,0,1,0,0,1,18,2,0,1,0,2,0,0,0,0,0,0,316,1.7507,320.91
Poly_L_alanine,2,1,0,0,1,0,0,1,3,1,0,1,0,2,0,0,0,0,0,0,,1.315,93.47
Poly_L_asparagine,3,2,0,0,2,0,1,2,2,2,0,1,1,4,0,0,0,0,0,0,,1.218,139
Polyglycine,1,1,0,0,1,0,1,1,0,2,0,0,1,2,0,0,0,0,0,0,,1.17,66.75
Poly_L_methionine,4,1,0,0,1,0,0,1,2,6,0,1,0,2,0,0,0,0,1,0,,1.347,176.7
Poly_L_phenylalanine,2,7,0,0,1,0,0,1,2,1,5,1,0,2,0,0,0,0,0,0,,1.153,169.7
Poly_L_serine,2,1,0,0,1,0,1,1,0,3,0,1,1,2,0,0,0,0,0,0,,1.297,112.9
Poly_L_valine,4,1,0,0,1,0,0,1,7,1,0,1,0,2,0,0,0,0,0,0,,1.455,144.2
Poly_butylene_adipate,8,2,0,0,2,1,1,0,12,4,0,1,1,0,0,0,0,0,0,0,199,1.9706,394.595
Poly_butylene_terephthalate,4,8,0,0,2,1,1,0,4,4,4,1,1,0,0,0,0,0,0,0,248,1.6134,355.311
Poly_ethylene_terephthalate,2,8,0,0,2,1,1,0,3,2,4,0,1,0,0,0,0,0,0,0,342,1.172,225.2
Poly_tridecanolactone,12,1,0,0,1,0,1,0,25,0,0,0,1,0,0,0,0,0,0,0,237,1.79,380
Polycaprolactone,5,1,0,0,1,0,1,0,8,2,0,1,1,0,0,0,0,0,0,0,209,1.4229,162.42
Polyglycolide,1,1,0,0,1,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,318,1.127,65.42
Poly_beta_propiolactone,2,1,0,0,1,0,1,0,2,2,0,1,1,0,0,0,0,0,0,0,249,1.878,135.354
Poly_ethylene_oxalate,2,2,0,0,2,1,1,0,0,4,0,1,1,0,0,0,0,0,0,0,306,1.1175,129.705
Poly_ethylene_sebacate,10,2,0,0,2,1,1,0,16,4,0,1,1,0,0,0,0,0,0,0,245,1.9245,439.34
"Poly_oxy-2,6-dimethyl-1,4-phenylene",2,6,0,0,0,0,1,0,6,0,3,0,1,0,0,0,0,0,0,0,482,1.2459,149.7
Poly_oxyethylene,2,0,0,0,0,0,1,0,3,2,0,0,1,0,0,0,0,0,0,0,206,1.257,55.36
Poly_oxymethylene,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,190,1.283,38.52
Poly_oxy_1_4_phenylene,0,6,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,358,1.185,109.1
Poly_oxy_propylene,3,0,0,0,0,0,1,0,6,1,0,0,1,0,0,0,0,0,0,0,198,1.915,111.23
Poly_oxytetramethylene,4,0,0,0,0,0,1,0,7,2,0,0,1,0,0,0,0,0,0,0,189,1.985,143.15
Poly_oxytrimethylene,3,0,0,0,0,0,1,0,5,2,0,0,1,0,0,0,0,0,0,0,195,1.373,79.73
Poly_diethyl_siloxane,4,0,0,0,0,0,1,0,11,0,0,0,1,0,0,0,0,0,0,1,135,1.6184,165.417
Poly_dimethyl_itaconate,5,2,0,0,2,2,0,0,6,6,0,0,0,0,0,0,0,0,0,0,377,1.3183,208.507
Poly_dimethyl_siloxane,2,0,0,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,1,146,1.591,118
Poly_4_hydroxybenzoic_acid,0,7,0,0,1,0,1,0,0,0,4,1,1,0,0,0,0,0,0,0,434,1.0207,122.6
PAS,0,24,0,0,2,2,0,0,0,0,18,0,0,0,0,0,0,0,1,0,492.6,1.009,141.4
